Prompt,Response
"Urgent! There's been a collision on Kent Road near the junction with Buckley Road. The incident happened like 3 minutes ago. Two vehicles collided head-on, causing significant damage and injuries. I see a lamp post with number 123456","<Location>Kent Road
<Prominent Landmarks>junction with Buckley Road.
<Expressway>
<Nearby Lamp post numbers>123456.0
<Casualties>Some injuries
<Nature of traffic accident>Head-on collision
<Hazards or Obstructions>
<Vehicles involved>2 cars
<Any actions taken by bystanders>
<State of occupants>Some injuries"
"A motorcyclist has crashed on Shrewsbury Road near the intersection with Jalan Korma. I see a big shopping mall opposite.  The incident happened 5 minutes ago. The rider is lying unconscious on the road, and traffic is backing up. I tried doing CPR but its not working!! Please send emergency services right away.","<Location>Shrewsbury Road
<Prominent Landmarks>intersection with Jalan Korma, big shopping mall
<Expressway>
<Nearby Lamp post numbers>
<Casualties>Rider unconscious
<Nature of traffic accident>Motorcycle crash
<Hazards or Obstructions>Causing congestion
<Vehicles involved>1 Motorcycle
<Any actions taken by bystanders>Performed CPR on victim
<State of occupants>Rider unconscious"
"There's been a rear-end collision on Sinaran Drive near the junction with Moullmein Rise. It happened around 10 Am. I think the front driver is stuck! And the vehicle is on fire! We need ambulances and fire trucks immediately.""","<Location>Sinaran Drive
<Prominent Landmarks>junction with Moullmein Rise
<Expressway>
<Nearby Lamp post numbers>
<Casualties>Some injuries
<Nature of traffic accident>Rear-end collision
<Hazards or Obstructions>Front driver stuck in vehicle, car on fire, potential explosion
<Vehicles involved>2 cars
<Any actions taken by bystanders>
<State of occupants>Front driver stuck in vehicle"
"Hello, I need to report a car rollover on Lembu Road near the junction with Desker Road. It's approximately 10 minutes ago as I was passing by. The vehicle is overturned, and the driver is trapped inside. I tried opening the door but I couldn't.  I see a lampost with number 246438. We need rescue teams and medical assistance urgently.""","<Location>Lembu Road
<Prominent Landmarks>junction with Desker Road
<Expressway>
<Nearby Lamp post numbers>246438.0
<Casualties>Potential injuries
<Nature of traffic accident>Car rollover
<Hazards or Obstructions>Driver trapped inside
<Vehicles involved>1 car
<Any actions taken by bystanders>Tried opening the door but to no avail
<State of occupants>Driver trapped inside"
"Emergency services, there's been a sideswipe collision on Verdun Road near the junction with Syed Alwi Road. I think it happened at like 4:45pm. No casualities but the two drivers are aruguing of those fault it is. Both vehicles are blocking the road. We need tow trucks and traffic control right away.""","<Location>Verdun Road
<Prominent Landmarks>junction with Syed Alwi Road
<Expressway>
<Nearby Lamp post numbers>
<Casualties>
<Nature of traffic accident>Sideswipe colision
<Hazards or Obstructions>Causing congestion
<Vehicles involved>2 cars
<Any actions taken by bystanders>
<State of occupants>"
"Urgent! A delivery truck has crashed into a barrier on Orchard Spring Lane near the junction with Kay Siang Road. The incident happened 10 minutes ago. The driver is injured, and the truck is blocking traffic. We need medical assistance and traffic diversions immediately.""","<Location>Orchard Spring Lane
<Prominent Landmarks>near the junction with Kay Siang Road
<Expressway>
<Nearby Lamp post numbers>
<Casualties>Driver injured
<Nature of traffic accident>Delivery truck crash into barrier
<Hazards or Obstructions>Causing congestion
<Vehicles involved>1 delivery truck
<Any actions taken by bystanders>
<State of occupants>driver injured"
"Help! A taxi has collided with a pedestrian on Martaban Road near the junction with Jalan Tan Tock Seng. It just happened. Landpost number 345678. The pedestrian is injured and I performed basic first aid to stop his bleeding, and traffic is at a standstill. Please send emergency services right away. It's raining and we cant rlly see properly!""","<Location>Martaban Road
<Prominent Landmarks>near junction with Jalan Tan Tock Seng
<Expressway>
<Nearby Lamp post numbers>345678.0
<Casualties>Pedestrain injured
<Nature of traffic accident>Collision with pedestrain
<Hazards or Obstructions>Causing congestion
<Vehicles involved>1 taxi
<Any actions taken by bystanders>Performed first aid to stop bleeding
<State of occupants>Pedestrain injured"
"Emergency, emergency! A bus has rear-ended a car on Sophia Road near the junction with Muscat Street. Passengers on the bus are reporting injuries, and there's significant damage to both vehicles. We need ambulances and tow trucks immediately.""","<Location>Sophia Road
<Prominent Landmarks>junction with Muscat Street
<Expressway>
<Nearby Lamp post numbers>
<Casualties>bus passengers suffer minor injuries
<Nature of traffic accident>Rear-end collision
<Hazards or Obstructions>Causing congestion
<Vehicles involved>2 cars
<Any actions taken by bystanders>
<State of occupants>bus passengers suffer minor injuries"
"Hello, I need to report a multi-vehicle collision on Pan Island Expressway (PIE) near the exit to Amber Road. Several cars are involved, and there are reports of casualties. We need emergency services and traffic control urgently.""","<Location>PIE
<Prominent Landmarks>near exit to Amber Road
<Expressway>PIE
<Nearby Lamp post numbers>
<Casualties>Potential injuries
<Nature of traffic accident>Multi-vehicle collision
<Hazards or Obstructions>Causing congestion
<Vehicles involved>Multiple cars
<Any actions taken by bystanders>
<State of occupants>potential injuries"
"Emergency services, there's been a motorcycle crash on Ang Mo Kio Avenue 4 near block 256. The rider is lying injured on the road, and traffic is slowing down. We need medical assistance and traffic management right away.""","<Location>Ang Mo Kio Avenue 4
<Prominent Landmarks>Block 256
<Expressway>
<Nearby Lamp post numbers>
<Casualties>Rider unconscious
<Nature of traffic accident>Motorcycle crash
<Hazards or Obstructions>Causing congestion
<Vehicles involved>1 Motocycle
<Any actions taken by bystanders>
<State of occupants>Rider unconscious"
